latitude,longitude,elevation,speed,time,distance,elevation_diff,cum_distance,cum_elevation
4.562295712530613,-74.09461218863726,2687.0,3.445687010887364,2024-05-04 05:03:43+00:00,10.2,-1.599999999999909,10.2,-1.599999999999909
4.562397971749306,-74.09473867155612,2684.4,4.564367552178678,2024-05-04 05:03:47+00:00,18.05,-2.599999999999909,28.25,-4.199999999999818
4.562473241239786,-74.09481980837882,2683.0,6.189301320301275,2024-05-04 05:03:49+00:00,12.29,-1.400000000000091,40.54,-5.599999999999909
4.562695780768991,-74.09499616362154,2677.0,4.016895147132384,2024-05-04 05:03:57+00:00,31.53,-6.0,72.07,-11.599999999999909
4.56297229975462,-74.09473188221455,2670.8,4.296519372005802,2024-05-04 05:04:07+00:00,42.47,-6.199999999999818,114.53999999999999,-17.799999999999727
4.563140692189336,-74.09489306621253,2668.2,5.207913887416432,2024-05-04 05:04:12+00:00,25.88,-2.600000000000364,140.42,-20.40000000000009
4.563560709357262,-74.09531668759882,2659.2,5.146876541711648,2024-05-04 05:04:25+00:00,66.23,-9.0,206.64999999999998,-29.40000000000009
4.563816525042057,-74.09556252881885,2652.8,3.995148902703346,2024-05-04 05:04:35+00:00,39.39,-6.399999999999636,246.03999999999996,-35.79999999999973
4.564189687371254,-74.09538265317678,2649.4,4.201101592414086,2024-05-04 05:04:46+00:00,46.04,-3.400000000000091,292.08,-39.19999999999982
4.564883038401604,-74.09490890800953,2645.8,5.497351355053151,2024-05-04 05:05:03+00:00,93.28,-3.599999999999909,385.36,-42.79999999999973
4.565118318423629,-74.09471821971238,2646.2,5.612205161571957,2024-05-04 05:05:09+00:00,33.63,0.3999999999996362,418.99,-42.40000000000009
4.565196521580219,-74.0946532599628,2646.4,5.652136270721524,2024-05-04 05:05:11+00:00,11.29,0.20000000000027285,430.28000000000003,-42.19999999999982
4.565486283972859,-74.09441437572241,2647.6,5.966884173546183,2024-05-04 05:05:18+00:00,41.7,1.199999999999818,471.98,-41.0
4.565560296177864,-74.09435746259987,2648.0,5.194368966778201,2024-05-04 05:05:20+00:00,10.37,0.40000000000009095,482.35,-40.59999999999991
4.5658959075808525,-74.09410608932376,2649.2,5.182220622916371,2024-05-04 05:05:29+00:00,46.57,1.199999999999818,528.9200000000001,-39.40000000000009
4.566445341333747,-74.0938728209585,2647.2,6.644472500910787,2024-05-04 05:05:39+00:00,66.34,-2.0,595.2600000000001,-41.40000000000009
4.567185379564762,-74.09376863390207,2643.6,5.20411425943455,2024-05-04 05:05:55+00:00,83.09,-3.599999999999909,678.3500000000001,-45.0
4.567768592387438,-74.09368489868939,2643.2,4.099107527679857,2024-05-04 05:06:11+00:00,65.51,-0.40000000000009095,743.8600000000001,-45.40000000000009
4.568263627588749,-74.09358322620392,2640.6,4.692514884979758,2024-05-04 05:06:23+00:00,56.19,-2.599999999999909,800.0500000000002,-48.0
4.568820437416434,-74.09365598112345,2638.0,6.951266017372456,2024-05-04 05:06:32+00:00,62.44,-2.599999999999909,862.4900000000002,-50.59999999999991
4.568966282531619,-74.09367215819657,2637.6,8.169619462545851,2024-05-04 05:06:34+00:00,16.32,-0.40000000000009095,878.8100000000003,-51.0
4.569582520052791,-74.09371792338789,2633.8,7.654649580858246,2024-05-04 05:06:43+00:00,68.71,-3.799999999999727,947.5200000000003,-54.79999999999973
4.570227172225714,-74.09376972354949,2626.8,6.575609197386267,2024-05-04 05:06:54+00:00,71.91,-7.0,1019.4300000000003,-61.79999999999973
4.570428840816021,-74.09362907521427,2625.2,5.477695013457296,2024-05-04 05:06:59+00:00,27.31,-1.6000000000003638,1046.7400000000002,-63.40000000000009
4.570971485227346,-74.0930577646941,2623.4,6.737359513258176,2024-05-04 05:07:12+00:00,87.47,-1.7999999999997272,1134.2100000000003,-65.19999999999982
4.57174370996654,-74.09228646196425,2621.8,8.665434109931837,2024-05-04 05:07:26+00:00,121.17,-1.599999999999909,1255.3800000000003,-66.79999999999973
4.572481904178858,-74.09158112481236,2624.6,7.094919198226942,2024-05-04 05:07:42+00:00,113.36,2.799999999999727,1368.7400000000002,-64.0
4.573121527209878,-74.09117393195629,2626.0,6.487753032640276,2024-05-04 05:07:55+00:00,84.23,1.400000000000091,1452.9700000000003,-62.59999999999991
4.573719995096326,-74.0907674934715,2624.4,8.046730162647458,2024-05-04 05:08:05+00:00,80.36,-1.599999999999909,1533.3300000000002,-64.19999999999982
4.57386676222086,-74.09066012129188,2623.8,10.114941177187752,2024-05-04 05:08:07+00:00,20.2,-0.599999999999909,1553.5300000000002,-64.79999999999973
4.574932688847184,-74.08989619463682,2621.0,9.115885372375065,2024-05-04 05:08:23+00:00,145.66,-2.800000000000182,1699.1900000000003,-67.59999999999991
4.575698208063841,-74.089336367324,2622.6,6.591767967636658,2024-05-04 05:08:39+00:00,105.34,1.599999999999909,1804.5300000000002,-66.0
4.576189387589693,-74.08902137540281,2621.2,4.056888950311839,2024-05-04 05:08:55+00:00,64.82,-1.400000000000091,1869.3500000000001,-67.40000000000009
4.577022884041071,-74.0884053055197,2618.4,7.205177052653626,2024-05-04 05:09:11+00:00,115.12,-2.799999999999727,1984.4700000000003,-70.19999999999982
4.57763803191483,-74.08772276714444,2618.0,7.293256496448507,2024-05-04 05:09:25+00:00,101.99,-0.40000000000009095,2086.46,-70.59999999999991
4.578316463157535,-74.08712840639055,2618.8,7.162145522199165,2024-05-04 05:09:39+00:00,100.15,0.8000000000001819,2186.61,-69.79999999999973
4.57876430824399,-74.08684141002595,2619.4,3.69752800089366,2024-05-04 05:09:55+00:00,59.09,0.599999999999909,2245.7000000000003,-69.19999999999982
4.578988188877702,-74.08673755824566,2619.4,2.745757746627869,2024-05-04 05:10:05+00:00,27.43,0.0,2273.13,-69.19999999999982
4.579403679817915,-74.08704525791109,2618.2,5.227467699418553,2024-05-04 05:10:16+00:00,57.43,-1.2000000000002728,2330.56,-70.40000000000009
4.580074483528733,-74.08757080323994,2616.0,5.923273701624128,2024-05-04 05:10:32+00:00,94.64,-2.199999999999818,2425.2,-72.59999999999991
4.580594077706337,-74.08796827308834,2614.2,4.54751458710889,2024-05-04 05:10:48+00:00,72.66,-1.800000000000182,2497.8599999999997,-74.40000000000009
4.581241412088275,-74.08849968574941,2611.8,5.821469699023634,2024-05-04 05:11:04+00:00,93.01,-2.399999999999636,2590.87,-76.79999999999973
4.581889417022467,-74.08927308395505,2608.6,7.009677665420887,2024-05-04 05:11:20+00:00,111.98,-3.200000000000273,2702.85,-80.0
4.582179179415107,-74.08947902731597,2608.2,5.647551773666714,2024-05-04 05:11:27+00:00,39.49,-0.40000000000009095,2742.3399999999997,-80.40000000000009
4.582504229620099,-74.08945731818676,2608.0,6.044178568253742,2024-05-04 05:11:33+00:00,36.22,-0.1999999999998181,2778.5599999999995,-80.59999999999991
4.58319129422307,-74.08895758911967,2607.8,7.872545841903459,2024-05-04 05:11:45+00:00,94.36,-0.1999999999998181,2872.9199999999996,-80.79999999999973
4.5842526108026505,-74.0881737973541,2607.0,8.629853268797431,2024-05-04 05:12:02+00:00,146.54,-0.8000000000001819,3019.4599999999996,-81.59999999999991
4.585110666230321,-74.0875397901982,2606.2,7.414543262860592,2024-05-04 05:12:18+00:00,118.5,-0.8000000000001819,3137.9599999999996,-82.40000000000009
4.585471507161856,-74.08727852627635,2605.6,3.0963297123542923,2024-05-04 05:12:34+00:00,49.48,-0.599999999999909,3187.4399999999996,-83.0
4.586294023320079,-74.08672791905701,2605.8,6.879687252747423,2024-05-04 05:12:50+00:00,109.95,0.20000000000027285,3297.3899999999994,-82.79999999999973
